rd rs rt,6-5-5-5-5-6,ADD,000000,rs,rt,rd,00000,100000,,
rs rt imm,6-5-5-16,ADDIU,001001,rs,rt,imm,,,,
rs imm,6-5-2-19,ADDIUPC,111011,rs,00,imm,,,,
rd rs rt,6-5-5-5-5-6,ADDU,000000,rs,rt,rd,00000,100001,,
rd rs rt bp,6-5-5-5-3-2-6,ALIGN,011111,rs,rt,rd,010,bp,100000,
rs imm,6-5-5-16,ALUIPC,111011,rs,11111,imm,,,,
rd rs rt,6-5-5-5-5-6,AND,000000,rs,rt,rd,00000,100100,,
rt rs imm,6-5-5-16,ANDI,001100,rs,rt,imm,,,,
rt rs imm,6-5-5-16,AUI,001111,rs,rt,imm,,,,
rs imm,6-5-5-16,AUIPC,111011,rs,11110,imm,,,,
offset,6-5-5-16,B,000100,00000,00000,offset,,,,
offset,6-5-5-16,BAL,000001,00000,10001,offset,,,,
offset,6-26,BALC,111010,offset,,,,,,
offset,6-26,BC,110010,offset,,,,,,
rs rt offset,6-5-5-16,BEQ,000100,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BEQC,001000,rs,rt,offset,,,,
rt offset,6-5-5-16,BEQZALC,001000,00000,rt,offset,,,,
rs offset,6-5-21,BEQZC,110110,rs,offset,,,,,
rs rt offset,6-5-5-16,BGEC,010110,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BGEUC,000110,rs,rt,offset,,,,
rs offset,6-5-5-16,BGEZ,000001,rs,00001,offset,,,,
rt offset,6-5-5-16,BGEZALC,000110,rs,rt,offset,,,,
rt offset,6-5-5-16,BGEZC,010110,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BGTC,010111,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BGTUC,000111,rs,rt,offset,,,,
rs offset,6-5-5-16,BGTZ,000111,rs,00000,offset,,,,
rt offset,6-5-5-16,BGTZALC,000111,00000,rt,offset,,,,
rt offset,6-5-5-16,BGTZC,010111,00000,rt,offset,,,,
rs offset,6-5-5-16,BGTZL,010111,rs,00000,offset,,,,
rd rt,6-5-5-5-5-6,BITSWAP,011111,00000,rt,rd,00000,100000,,
rs rt offset,6-5-5-16,BLEC,010110,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BLEUC,000110,rs,rt,offset,,,,
rs offset,6-5-5-16,BLEZ,000110,rs,00000,offset,,,,
rt offset,6-5-5-16,BLEZALC,000110,00000,rt,offset,,,,
rt offset,6-5-5-16,BLEZC,010110,00000,rt,offset,,,,
rs offset,6-5-5-16,BLEZL,010110,rs,00000,offset,,,,
rs rt offset,6-5-5-16,BLTC,010111,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BLTUC,000111,rs,rt,offset,,,,
rs offset,6-5-5-16,BLTZ,000001,rs,00000,offset,,,,
rt offset,6-5-5-16,BLTZALC,000111,rs,rt,offset,,,,
rt offset,6-5-5-16,BLTZC,010111,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BNE,000101,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BNEC,011000,rs,rt,offset,,,,
rt offset,6-5-5-16,BNEZALC,011000,00000,rt,offset,,,,
rs offset,6-5-21,BNEZC,111110,rs,offset,,,,,
rs rt offset,6-5-5-16,BNVC,011000,rs,rt,offset,,,,
rs rt offset,6-5-5-16,BOVC,001000,rs,rt,offset,,,,
,6-20-6,BREAK,000000,code,001101,,,,,
op offset(base),6-5-5-9-1-6,CACHE,011111,base,op,offset,0,100101,,
op offset(base),6-5-5-9-1-6,CACHEE,011111,base,op,offset,0,011011,,
rd rs,6-5-5-5-5-6,CLO,000000,rs,00000,rd,000001,010001,,
rd rs,6-5-5-5-5-6,CLZ,000000,rs,00000,rd,000001,010000,,
,6-5-5-5-3-2-6,CRC32B,011111,rs,rt,00000,000,sz,001111,
,6-5-5-5-3-2-6,CRC32CB,011111,rs,rt,00000,001,sz,001111,
,6-5-5-5-3-2-6,CRC32CH,011111,rs,rt,00000,001,sz,001111,
,6-5-5-5-3-2-6,CRC32CW,011111,rs,rt,00000,001,sz,001111,
,6-5-5-5-3-2-6,CRC32H,011111,rs,rt,00000,000,sz,001111,
,6-5-5-5-3-2-6,CRC32W,011111,rs,rt,00000,000,sz,001111,
,6-1-19-6,DERET,010000,1,000 0000 0000 0000 0000,011111,,,,
rt,6-5-5-5-5-1-2-3,DI,010000,01011,rt,01100,00000,0,00,000
rd rs rt,6-5-5-5-5-6,DIV,000000,rs,rt,rd,00010,011010,,
rt,6-5-5-5-5-1-2-3,DIVP,010000,01011,rt,00000,00000,1,00,100
rd rs rt,6-5-5-5-5-6,DIVU,000000,rs,rt,rd,00010,011011,,
,6-5-5-5-5-6,EHB,000000,00000,00000,00000,00011,000000,,
rt,6-5-5-5-5-1-2-3,EI,010000,01011,rt,01100,00000,1,00,000
,6-1-19-6,ERET,010000,1,000 0000 0000 0000 0000,011000,,,,
,6-1-18-1-6,ERETNC,010000,1,000 0000 0000 0000 0000,1,011000,,,
rt,6-5-5-5-5-1-2-3,EVP,010000,01011,rt,00000,00000,0,00,100
rt rs pos size,6-5-5-5-5-6,EXT,011111,rs,rt,msbd,lsb,000000,,
rs,6-5-13-2-6,GINVI,011111,rs,0 0000 0000 0000,00,111101,,,
rs type,6-5-5-6-2-2-6,GINVT,011111,rs,00000,000000,type,10,111101,
rt rs pos size,6-5-5-5-5-6,INS,011111,rs,rt,msb,lsb,000100,,
instr_index,6-26,J,000010,instr_index,,,,,,
instr_index,6-26,JAL,000011,instr_index,,,,,,
rd rs,6-5-5-5-5-6,JALR,000000,rs,00000,rd,hint,001001,,
rd rs,6-5-5-5-1-4-6,JALR.HB,000000,rs,00000,rd,1,hint,001001,
rt offset,6-5-5-16,JIALC,111110,00000,rt,offset,,,,
rt offset,6-5-5-16,JIC,110110,00000,rt,offset,,,,
rs,6-5-5-5-5-6,JR,000000,rs,00000,00000,hint,001001,,
rs,6-5-5-5-1-4-6,JR.HB,000000,rs,00000,00000,1,hint,001001,
rt offset(base),6-5-5-16,LB,100000,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,LBE,011111,base,rt,offset,0,101100,,
rt offset(base),6-5-5-16,LBU,100100,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,LBUE,011111,base,rt,offset,0,101000,,
rt offset(base),6-5-5-16,LH,100001,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,LHE,011111,base,rt,offset,0,101101,,
rt offset(base),6-5-5-16,LHU,100101,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,LHUE,011111,base,rt,offset,0,101001,,
rt offset(base),6-5-5-9-1-6,LL,011111,base,rt,offset,0,110110,,
rt offset(base),6-5-5-9-1-6,LLE,011111,base,rt,offset,0,101110,,
rt rd (base),6-5-5-5-4-1-6,LLWP,011111,base,rt,rd,0000,1,110110,
rt rd (base),6-5-5-5-4-1-6,LLWPE,011111,base,rt,rd,0000,1,101110,
rd rs rt sa,6-5-5-5-3-2-6,LSA,000000,rs,rt,rd,000,sa,000101,
rt imm,6-5-5-16,LUI,001111,00000,rt,imm,,,,
rt offset(base),6-5-5-16,LW,100011,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,LWE,011111,base,rt,offset,0,101111,,
rs offset,6-5-2-19,LWPC,111011,rs,01,offset,,,,
rd rs rt,6-5-5-5-5-6,MOD,000000,rs,rt,rd,00011,011010,,
rd rs rt,6-5-5-5-5-6,MODU,000000,rs,rt,rd,00011,011011,,
rd rs rt,6-5-5-5-5-6,MUH,000000,rs,rt,rd,00011,011000,,
rd rs rt,6-5-5-5-5-6,MUHU,000000,rs,rt,rd,00011,011001,,
rd rs rt,6-5-5-5-5-6,MUL,000000,rs,rt,rd,00010,011000,,
rd rs rt,6-5-5-5-5-6,MULU,000000,rs,rt,rd,00010,011001,,
,6-5-5-16,NAL,000001,00000,10000,offset,,,,
,6-5-5-5-5-6,NOP,000000,00000,00000,00000,00000,000000,,
rd rs rt,6-5-5-5-5-6,NOR,000000,rs,rt,rd,00000,100111,,
rd rs rt,6-5-5-5-5-6,OR,000000,rs,rt,rd,00000,100101,,
rt rs imm,6-5-5-16,ORI,001101,rs,rt,imm,,,,
,6-5-5-5-5-6,PAUSE,000000,00000,00000,00000,00101,000000,,
hint offset(base),6-5-5-9-1-6,PREF,011111,base,hint,offset,0,110101,,
hint offset(base),6-5-5-9-1-6,PREFE,011111,base,hint,offset,0,100011,,
rt rd sel,6-5-5-5-2-3-6,RDHWR,011111,00000,rt,rd,00,sel,111011,
rd rt,6-5-5-5-11,RDPGPR,010000,01010,rt,rd,000 0000 0000,,,
rd rt sa,6-4-1-5-5-5-6,ROTR,000000,0000,1,rt,rd,sa,000010,
rd rt rs,6-5-5-5-4-1-6,ROTRV,000000,rs,rt,rd,0000,1,000110,
rt offset(base),6-5-5-16,SB,101000,base,rt,offset,,,,
rt offset(base),6-5-5-9-1-6,SBE,011111,base,rt,offset,0,011100,,
